epochs           90
ckpt_save_interval 2
workers          4
mode             train
ckpt             None
net              pointnet2_msg
lr               0.0001
lr_decay         0.2
lr_clip          1e-06
decay_step_list  [50, 70, 80, 90]
weight_decay     0.001
output_dir       output
extra_tag        default
num_points       4096
use_sgd          False
batch_size       16
===============TRAIN EPOCH 1================
training epoch 1: it=132/232, total_it=133, loss=0.53627, fg_iou=0.531, accuracy=0.947, lr=0.000100
training epoch 1: it=133/232, total_it=134, loss=0.57560, fg_iou=0.507, accuracy=0.948, lr=0.000100
training epoch 1: it=134/232, total_it=135, loss=0.54977, fg_iou=0.578, accuracy=0.964, lr=0.000100
training epoch 1: it=135/232, total_it=136, loss=0.42999, fg_iou=0.654, accuracy=0.962, lr=0.000100
training epoch 1: it=136/232, total_it=137, loss=0.56836, fg_iou=0.510, accuracy=0.944, lr=0.000100
training epoch 1: it=137/232, total_it=138, loss=0.62461, fg_iou=0.464, accuracy=0.952, lr=0.000100
training epoch 1: it=138/232, total_it=139, loss=0.50241, fg_iou=0.588, accuracy=0.961, lr=0.000100
training epoch 1: it=139/232, total_it=140, loss=0.42644, fg_iou=0.619, accuracy=0.950, lr=0.000100
training epoch 1: it=140/232, total_it=141, loss=0.48801, fg_iou=0.613, accuracy=0.965, lr=0.000100
training epoch 1: it=141/232, total_it=142, loss=0.55627, fg_iou=0.543, accuracy=0.959, lr=0.000100
training epoch 1: it=142/232, total_it=143, loss=0.60281, fg_iou=0.461, accuracy=0.946, lr=0.000100
training epoch 1: it=143/232, total_it=144, loss=0.52211, fg_iou=0.557, accuracy=0.958, lr=0.000100
training epoch 1: it=144/232, total_it=145, loss=0.66506, fg_iou=0.391, accuracy=0.951, lr=0.000100
training epoch 1: it=145/232, total_it=146, loss=0.41629, fg_iou=0.633, accuracy=0.949, lr=0.000100
training epoch 1: it=146/232, total_it=147, loss=0.73545, fg_iou=0.341, accuracy=0.952, lr=0.000100
training epoch 1: it=147/232, total_it=148, loss=0.53368, fg_iou=0.497, accuracy=0.926, lr=0.000100
training epoch 1: it=148/232, total_it=149, loss=0.64350, fg_iou=0.410, accuracy=0.946, lr=0.000100
training epoch 1: it=149/232, total_it=150, loss=0.39323, fg_iou=0.658, accuracy=0.951, lr=0.000100
training epoch 1: it=150/232, total_it=151, loss=0.54476, fg_iou=0.514, accuracy=0.949, lr=0.000100
training epoch 1: it=151/232, total_it=152, loss=0.51795, fg_iou=0.558, accuracy=0.949, lr=0.000100
training epoch 1: it=152/232, total_it=153, loss=0.50620, fg_iou=0.525, accuracy=0.932, lr=0.000100
